OrderID;Bestelldatum;Lieferdatum;CustomerID;ProductID;SalesRepID;Menge;Einzelpreis;Rabatt;Status;Kanal
O00001;2022-07-31;2022-08-12;K0021;P0084;SR011;2;306.84;0.05;Abgeschlossen;Telefon
O00002;2024-11-24;2024-11-29;K0301;P0084;SR004;5;314.46;0.0;Storniert;Telefon
O00003;2022-12-06;2022-12-10;K0257;P0018;SR016;2;222.39;0.0;Abgeschlossen;Außendienst
O00004;2024-09-07;2024-09-15;K0170;P0015;SR016;1;308.97;0.0;Abgeschlossen;Telefon
O00005;25.04.2022;2022-04-28;K0021;P0074;SR006;1;754.55;0.05;Abgeschlossen;Online
O00006;08.07.2024;2024-07-18;K0146;P0011;SR006;3;166.32;0.1;Abgeschlossen;Außendienst
O00007;2022-12-10;2022-12-22;K0338;P0066;SR011;5;940.95;0.0;Abgeschlossen;Online
O00008;2022-07-17;2022-07-20;K0259;P0054;SR010;2;269.95;0.1;Abgeschlossen;Online
O00009;02.06.2024;2024-06-11;K0309;P0070;SR002;5;147.81;0.0;Storniert;Telefon
O00010;2024-05-21;2024-05-24;K0380;P0074;SR002;3;751,08;0.0;Abgeschlossen;Telefon
O00011;2024-11-30;2024-12-01;K0381;P0001;SR002;1;785.19;0.0;Abgeschlossen;Telefon
O00012;2023-07-19;2023-07-30;K0275;P0055;SR012;1;114.58;0.05;Abgeschlossen;Telefon
O00013;2022-10-10;2022-10-24;K0296;P0045;SR018;1;262.7;0.1;Storniert;Online
O00014;2022-11-26;2022-12-03;K0282;P0079;SR003;1;1069.36;0.0;Storniert;Telefon
O00015;2024-02-27;2024-03-05;K0041;P0078;SR002;2;2128.1;0.05;Storniert;Außendienst
O00016;2023-02-03;2023-02-04;K0104;P0085;SR013;2;775.08;0.05;Abgeschlossen;Online
O00017;2023-12-25;2024-01-05;K0045;P0036;SR018;2;175.3;0.05;Abgeschlossen;Online
O00018;2023-07-21;2023-07-25;K0299;P0045;SR015;1;281,6;0.05;Abgeschlossen;Telefon
O00019;17.11.2024;2024-11-22;K0151;P0044;SR005;3;2095.06;0.05;Zurückgestellt;Telefon
O00020;2022-02-26;2022-03-06;K0398;P0059;SR019;1;339.47;0.2;Abgeschlossen;Online
O00021;2023-06-24;2023-06-28;K0265;P0069;SR005;1;66.57;0.0;Abgeschlossen;Online
O00022;25.01.2023;2023-02-02;K0294;P0035;SR010;1;971.28;0.0;Abgeschlossen;Außendienst
O00023;2022-06-10;2022-06-21;K0399;P0014;SR002;1;1186.89;0.1;Zurückgestellt;Außendienst
O00024;2023-01-10;2023-01-23;K0295;P0036;SR019;1;170.13;0.05;Abgeschlossen;Außendienst
O00025;2022-12-24;2023-01-01;K0258;P0045;SR019;2;268.92;0.05;Abgeschlossen;Online
